,Black,Grey,White,Green,Blue
0,3850.0,200272.0,10263.0,25731.0,89164.0
1,14028.0,162089.0,19166.0,48016.0,2167.0
2,19455.0,274818.0,3945.0,20980.0,11679.0
3,7073.0,193789.0,4232.0,32465.0,55415.0
4,11455.0,124555.0,8199.0,54746.0,22808.0
5,4945.0,208102.0,11314.0,30478.0,43373.0
6,6650.0,203355.0,9762.0,20283.0,65628.0
7,5380.0,234206.0,8863.0,27897.0,51934.0
8,19477.0,241724.0,19544.0,32948.0,5417.0
9,5462.0,181670.0,4331.0,27805.0,8813.0
10,8864.0,231832.0,8628.0,16952.0,1048.0
11,5272.0,236442.0,5063.0,11249.0,18296.0
12,11464.0,240039.0,5723.0,14193.0,10362.0
13,7712.0,289768.0,12888.0,12586.0,7543.0
14,8014.0,288668.0,12904.0,12932.0,6966.0
15,10436.0,286774.0,13207.0,12812.0,4976.0
16,21056.0,158353.0,16938.0,43003.0,8634.0
17,28031.0,183402.0,7437.0,72019.0,2694.0
18,9805.0,282997.0,2047.0,30191.0,4861.0
19,13462.0,204106.0,4775.0,28408.0,1384.0
20,15260.0,141648.0,6977.0,25265.0,2954.0
21,11804.0,194169.0,14411.0,41038.0,57796.0
22,16514.0,189665.0,13371.0,74879.0,19595.0
23,17557.0,258954.0,10926.0,37665.0,5393.0
24,16013.0,169445.0,30117.0,20398.0,1667.0
25,16478.0,161885.0,25913.0,30072.0,575.0
26,8799.0,197874.0,12221.0,31797.0,87668.0
27,18704.0,202352.0,7212.0,31647.0,73402.0
28,10530.0,232910.0,5591.0,43364.0,48488.0
29,14524.0,207372.0,16088.0,23762.0,56538.0
30,22427.0,246528.0,7755.0,53850.0,3835.0
31,23494.0,254218.0,9699.0,15707.0,9983.0
32,5985.0,219494.0,36786.0,41790.0,4089.0
33,5128.0,223031.0,12618.0,13736.0,1173.0
34,9929.0,229779.0,2971.0,33715.0,43598.0
35,16815.0,244554.0,10048.0,34251.0,35072.0
36,24500.0,271811.0,7365.0,36026.0,5450.0
37,8769.0,198599.0,12438.0,39394.0,72403.0
38,9846.0,207584.0,7986.0,19935.0,85392.0
39,24583.0,141964.0,36184.0,86297.0,23561.0
40,13213.0,182966.0,13470.0,76362.0,3882.0
41,7470.0,150776.0,18284.0,47378.0,3491.0
42,14840.0,173573.0,11025.0,23525.0,1733.0
43,8911.0,208961.0,7300.0,25688.0,13891.0
44,10494.0,161131.0,43581.0,37917.0,1066.0
45,15369.0,204048.0,18140.0,42597.0,1506.0
46,22733.0,172240.0,11147.0,50077.0,4138.0
47,6743.0,204457.0,14468.0,31424.0,7273.0
48,29192.0,185917.0,8759.0,50455.0,1096.0
49,4896.0,188998.0,4385.0,14860.0,15684.0
50,6599.0,170548.0,4753.0,22141.0,15512.0
51,7117.0,168111.0,5068.0,18511.0,15259.0
52,4167.0,219447.0,2068.0,8052.0,657.0
53,7251.0,240176.0,18930.0,22974.0,21968.0
54,5593.0,186569.0,20008.0,24981.0,6717.0
55,16636.0,205307.0,8409.0,20904.0,12073.0
56,13857.0,258768.0,11154.0,14303.0,9897.0
57,13542.0,160996.0,15571.0,43319.0,2899.0
58,24757.0,240005.0,9927.0,30355.0,7706.0
59,17888.0,202273.0,18718.0,32823.0,6867.0
60,8071.0,153536.0,20059.0,29213.0,5090.0
61,32154.0,223228.0,11219.0,44540.0,22224.0
62,3505.0,205911.0,2548.0,12940.0,17937.0
63,10464.0,286601.0,13206.0,12714.0,5365.0
64,14370.0,232325.0,8540.0,27520.0,49196.0
65,6039.0,280156.0,9137.0,24204.0,3341.0
66,12765.0,183579.0,6823.0,26781.0,1271.0
67,32124.0,224433.0,5051.0,28189.0,1342.0
68,13950.0,206929.0,9678.0,44641.0,62256.0
69,15570.0,206742.0,10758.0,35136.0,64218.0
70,22787.0,277493.0,4803.0,23876.0,1417.0
71,21745.0,207678.0,19900.0,44997.0,20660.0
72,25249.0,214450.0,17609.0,42082.0,12671.0
73,8455.0,177704.0,13768.0,67908.0,11735.0
74,7179.0,234152.0,48898.0,30011.0,2230.0
75,22881.0,255259.0,12513.0,32696.0,9081.0
76,23567.0,237506.0,15996.0,41684.0,6839.0
77,28214.0,180547.0,33453.0,64293.0,12731.0
78,12595.0,235853.0,4640.0,44600.0,20722.0
79,13131.0,214895.0,25793.0,44223.0,16272.0
80,15461.0,238495.0,4456.0,24964.0,1954.0
81,30521.0,206530.0,7961.0,45546.0,2867.0
82,19713.0,240466.0,880.0,16025.0,5218.0
83,4110.0,298037.0,904.0,12278.0,6124.0
84,14909.0,186885.0,26648.0,56199.0,5951.0
85,1811.0,193594.0,4829.0,7917.0,996.0
86,25693.0,179128.0,25826.0,40533.0,637.0
87,21098.0,151563.0,4131.0,47040.0,319.0
88,9816.0,168632.0,32165.0,35384.0,10198.0
89,8412.0,172970.0,2676.0,26339.0,1162.0
90,12657.0,252294.0,2311.0,27490.0,1161.0
91,6971.0,255322.0,1685.0,14575.0,4249.0
92,26357.0,200414.0,5910.0,33004.0,3940.0
93,10804.0,246669.0,11763.0,30005.0,41574.0
94,6352.0,199801.0,5467.0,49599.0,61202.0
95,4164.0,198401.0,5995.0,41008.0,81814.0
96,7451.0,211197.0,6481.0,47099.0,62404.0
97,10102.0,182288.0,5918.0,55350.0,64851.0
98,18026.0,196822.0,6584.0,57023.0,46924.0
99,6951.0,156518.0,4222.0,31477.0,129450.0
100,6796.0,242638.0,7990.0,23374.0,32599.0
101,4217.0,252319.0,3954.0,16084.0,29599.0
102,8744.0,230731.0,3404.0,14822.0,27265.0
103,1975.0,174331.0,8706.0,10710.0,123372.0
104,1157.0,146136.0,6452.0,13433.0,128967.0
105,1842.0,158568.0,4436.0,27154.0,127160.0
106,8368.0,189137.0,39111.0,38224.0,1064.0
107,9755.0,235358.0,13440.0,18048.0,54166.0
108,26058.0,187478.0,12217.0,47552.0,33054.0
109,6077.0,196276.0,10605.0,42318.0,64233.0
110,19639.0,221224.0,20651.0,34003.0,46614.0
111,13332.0,189319.0,21501.0,52114.0,36820.0
112,40174.0,110511.0,36796.0,36901.0,2295.0
113,54796.0,134383.0,9980.0,53785.0,67734.0
114,9938.0,257880.0,9771.0,18958.0,42430.0
115,19486.0,247574.0,2313.0,45546.0,21044.0
116,2961.0,243330.0,7951.0,22422.0,57307.0
117,31235.0,186801.0,25263.0,89671.0,1998.0
118,24275.0,165182.0,26500.0,67075.0,20584.0
119,25796.0,182766.0,2460.0,60456.0,23129.0
120,14671.0,170283.0,46822.0,76868.0,9330.0
121,20776.0,180477.0,35865.0,48666.0,31630.0
122,9881.0,217330.0,69660.0,22704.0,3273.0
123,13964.0,182082.0,8808.0,61815.0,28917.0
124,5972.0,193831.0,9568.0,47343.0,57602.0
125,18955.0,229093.0,11107.0,25773.0,2261.0
126,7448.0,244403.0,4420.0,28014.0,30217.0
127,8652.0,198488.0,3244.0,22441.0,62894.0
128,12762.0,145568.0,10060.0,71902.0,15256.0
129,22693.0,170495.0,10300.0,62572.0,39648.0
130,9069.0,232883.0,5024.0,18801.0,62114.0
131,8822.0,204262.0,9292.0,28426.0,89524.0
132,16424.0,227445.0,7543.0,35622.0,50991.0
133,15241.0,197724.0,5209.0,40758.0,80603.0
134,12713.0,182492.0,29790.0,53019.0,25518.0
135,10631.0,216554.0,16463.0,24640.0,48367.0
136,14062.0,190996.0,12161.0,72989.0,5118.0
137,14096.0,235955.0,4418.0,48412.0,1441.0
138,24256.0,208481.0,1869.0,45728.0,2276.0
139,16832.0,202924.0,3446.0,46916.0,1349.0
140,20882.0,159081.0,2050.0,46718.0,1156.0
141,16161.0,172763.0,2524.0,42981.0,1247.0
142,16644.0,178751.0,1689.0,40140.0,1276.0
143,12063.0,222491.0,7928.0,41577.0,933.0
144,27805.0,209041.0,1272.0,64926.0,4109.0
145,54362.0,190326.0,10802.0,52618.0,10886.0
146,9962.0,198065.0,16894.0,28804.0,922.0
147,10730.0,270238.0,13748.0,25284.0,1772.0
148,13158.0,163763.0,2533.0,23223.0,1177.0
149,9337.0,236521.0,12891.0,11896.0,37791.0
150,6039.0,213610.0,26073.0,13755.0,1173.0
151,15397.0,196390.0,14348.0,32642.0,59060.0
152,7341.0,268986.0,12652.0,17875.0,9066.0
153,5441.0,250075.0,29107.0,21803.0,5077.0
154,7736.0,228309.0,16302.0,17783.0,36409.0
155,7761.0,198751.0,29799.0,25598.0,47032.0
156,12175.0,226621.0,49822.0,18695.0,4909.0
157,19696.0,158366.0,45388.0,38203.0,1758.0
158,17569.0,225741.0,18412.0,32593.0,3353.0
159,20418.0,181638.0,16607.0,22455.0,37571.0
160,7848.0,224851.0,44759.0,23642.0,9381.0
161,16506.0,241692.0,4987.0,17462.0,32197.0
162,18557.0,175163.0,4729.0,61467.0,67255.0
163,38226.0,216230.0,16429.0,31904.0,5077.0
164,23422.0,233348.0,9771.0,54161.0,8113.0
165,5613.0,238229.0,8211.0,12759.0,73330.0
166,2693.0,250884.0,11491.0,13631.0,41406.0
167,16297.0,206460.0,42334.0,35958.0,13146.0
168,9408.0,199569.0,10973.0,27183.0,55817.0
169,21475.0,243067.0,22789.0,24687.0,11407.0
170,26141.0,171741.0,11394.0,55840.0,69925.0
171,21768.0,230751.0,7733.0,38240.0,4389.0
172,16103.0,273626.0,10094.0,16776.0,19088.0
173,10856.0,204794.0,11352.0,81954.0,17295.0
174,15353.0,217032.0,13879.0,43326.0,38944.0
175,15421.0,217952.0,26645.0,47353.0,17242.0
176,13609.0,177749.0,44869.0,86410.0,4485.0
177,10065.0,190026.0,8249.0,25972.0,102270.0
178,8687.0,227242.0,7374.0,32259.0,50663.0
179,8997.0,293961.0,16198.0,19764.0,3633.0
180,6895.0,198812.0,8130.0,35009.0,79631.0
181,9442.0,255386.0,20015.0,21390.0,6070.0
182,10997.0,193599.0,15716.0,33592.0,66929.0
183,23991.0,197374.0,5898.0,21738.0,15788.0
184,26887.0,153615.0,49711.0,63413.0,7520.0
185,8491.0,214129.0,18655.0,16100.0,25310.0
186,8741.0,236081.0,11807.0,27940.0,982.0
187,8093.0,291614.0,7064.0,10281.0,19243.0
188,31743.0,172777.0,58376.0,37469.0,16415.0
189,24870.0,241401.0,6616.0,43885.0,15204.0
190,16012.0,210182.0,9129.0,70759.0,19356.0
191,10795.0,192222.0,13617.0,37444.0,68749.0
192,26744.0,150568.0,12089.0,59445.0,10170.0
193,8300.0,241722.0,12988.0,31223.0,31055.0
194,15352.0,197433.0,4350.0,22906.0,80713.0
195,11784.0,220623.0,21384.0,50979.0,22680.0
196,18472.0,202051.0,14577.0,73765.0,3801.0
197,15660.0,212696.0,11300.0,49348.0,3532.0
198,10835.0,270456.0,4521.0,19101.0,4486.0
199,13877.0,239910.0,23416.0,27942.0,7352.0
200,13824.0,180736.0,5914.0,41830.0,85117.0
201,13752.0,257457.0,5251.0,29298.0,27040.0
202,8958.0,214766.0,7305.0,31818.0,58429.0
203,14617.0,199943.0,7860.0,52257.0,56982.0
204,5960.0,172980.0,10246.0,37427.0,13181.0
205,4484.0,193082.0,13309.0,13190.0,1947.0
206,21591.0,228364.0,5930.0,34071.0,44957.0
207,14133.0,248937.0,20765.0,34580.0,7519.0
208,43517.0,144989.0,31629.0,56436.0,53418.0
209,6693.0,252354.0,7580.0,8221.0,50307.0
210,11569.0,287968.0,6120.0,21860.0,3406.0
211,6637.0,207972.0,3058.0,19939.0,4454.0
212,3181.0,193819.0,1113.0,13314.0,1037.0
213,3169.0,195050.0,1049.0,10783.0,1434.0
214,3476.0,213824.0,952.0,11773.0,2384.0
215,1651.0,277591.0,1647.0,10310.0,1730.0
216,3657.0,255666.0,2865.0,21890.0,690.0
217,5912.0,215175.0,7565.0,27984.0,1368.0
218,15020.0,236082.0,7940.0,31800.0,2466.0
219,16895.0,181733.0,18602.0,34925.0,1582.0
220,13936.0,247790.0,3862.0,51759.0,1404.0
221,6293.0,217811.0,844.0,28899.0,2026.0
222,11845.0,224578.0,10961.0,43756.0,3364.0
223,13576.0,151666.0,26980.0,69013.0,31349.0
224,17027.0,206431.0,21080.0,41452.0,20664.0
225,9616.0,209991.0,6966.0,23515.0,14056.0
226,7174.0,278783.0,9214.0,23317.0,13920.0
227,8153.0,207998.0,5080.0,23384.0,89487.0
228,10063.0,181093.0,14362.0,26026.0,5090.0
