Image number,Object,Reliability,Size of box
0,car,73.2735157012939,56
0,car,93.4665739536285,100
1,car,98.7700760364533,5252
1,car,89.2951548099518,208
1,car,73.2582867145538,49
1,car,62.8121674060822,110
1,car,98.6790955066681,1944
2,car,94.5171415805817,29808
2,car,96.4029312133789,5394
2,car,61.2677335739136,70
2,car,74.4577527046204,132
3,car,97.2568094730377,3312
3,car,94.3054676055908,90
3,car,83.4430694580078,49
3,car,82.2586119174957,42
3,person,76.6639292240143,209
3,car,97.2703099250794,560
4,car,85.9000146389008,3675
4,car,93.6890065670013,132
4,car,91.7259633541107,90
5,,,
6,truck,91.927707195282,2800
6,car,72.881031036377,99
6,car,78.0139565467835,270
6,car,76.429158449173,182
6,car,88.7343347072601,221
6,car,98.069417476654,952
7,car,77.7929723262787,13158
7,car,66.1811828613281,33532
7,car,87.2729599475861,2736
7,car,91.2008821964264,306
7,car,71.8376159667969,252
7,car,95.8122730255127,1120
7,car,69.6428775787354,2040
8,car,98.782604932785,4386
8,car,98.1872618198395,270
8,car,83.4934711456299,440
8,car,96.4264988899231,1650
9,car,80.215048789978,220
10,car,91.6713297367096,26607
10,car,96.5018093585968,4838
10,car,63.6976182460785,6300
10,car,95.3256487846374,2430
10,car,79.1208207607269,1976
10,car,94.0736293792725,1833
11,person,62.6493573188782,84
11,motorbike,80.7538509368897,120
12,car,99.906986951828,4608
12,car,71.1767792701721,575
12,car,75.8868098258972,288
12,car,73.1475591659546,182
12,car,88.822478055954,182
12,car,65.0585949420929,110
12,car,81.590062379837,110
12,car,71.6834723949432,80
12,car,98.4820485115051,1716
13,car,99.7579991817474,27324
13,car,98.6486732959747,3416
13,car,77.8069496154785,338
13,car,66.5275990962982,110
13,car,77.7465760707855,88
13,car,78.7631630897522,400
14,car,70.768529176712,2691
15,car,99.6900498867035,6424
15,car,99.6810495853424,5796
15,car,60.0565552711487,81
15,car,89.9010300636292,221
15,car,65.8947646617889,286
16,car,98.1139957904816,28280
16,car,98.5013782978058,9882
16,car,92.5241231918335,336
16,car,94.1321730613708,924
16,car,88.1927371025085,2106
17,,,
18,car,99.8688340187073,28560
18,bus,92.3944413661957,28290
18,car,99.0015149116516,858
18,car,64.8966908454895,140
18,car,76.8187940120697,143
18,car,96.8044400215149,1260
18,car,94.0434634685516,1360
