,Black,Grey,White,Green,Blue
0,8860.0,183435.0,16909.0,34103.0,10865.0
1,11578.0,189649.0,6025.0,14700.0,9387.0
2,8790.0,142242.0,30174.0,35457.0,1397.0
3,10429.0,169566.0,16175.0,33690.0,16464.0
4,9285.0,176673.0,23554.0,21714.0,14224.0
5,19886.0,225861.0,8265.0,40057.0,26248.0
6,1811.0,193594.0,4829.0,7917.0,996.0
7,19807.0,215737.0,5489.0,46272.0,44790.0
8,3339.0,184476.0,8517.0,38255.0,69796.0
9,18151.0,167421.0,16217.0,34549.0,6601.0
10,20198.0,211357.0,10676.0,18792.0,68835.0
11,8258.0,286192.0,2052.0,25322.0,2576.0
12,7419.0,214625.0,4407.0,34596.0,64428.0
13,8153.0,207998.0,5080.0,23384.0,89487.0
14,7506.0,258213.0,8121.0,18401.0,36532.0
15,7952.0,218698.0,18996.0,29896.0,50862.0
16,47825.0,114631.0,40510.0,91919.0,38926.0
17,17889.0,190527.0,4475.0,61256.0,59837.0
18,11031.0,260177.0,4418.0,12061.0,5125.0
19,5710.0,193032.0,16149.0,11030.0,92307.0
20,10962.0,192162.0,6594.0,45235.0,78022.0
21,8037.0,228126.0,9299.0,14392.0,9422.0
22,18845.0,167418.0,111425.0,28269.0,1721.0
23,5671.0,207544.0,12966.0,26110.0,70956.0
24,11960.0,236542.0,10416.0,46318.0,17233.0
25,26684.0,218480.0,6001.0,36762.0,38673.0
26,16773.0,213904.0,11063.0,36156.0,19457.0
27,12493.0,265325.0,16885.0,15792.0,4901.0
28,11286.0,216661.0,11059.0,44576.0,40853.0
29,13639.0,171937.0,10777.0,22376.0,12059.0
30,6650.0,203355.0,9762.0,20283.0,65628.0
31,13921.0,138321.0,38967.0,40778.0,3673.0
32,19455.0,274818.0,3945.0,20980.0,11679.0
33,8455.0,177704.0,13768.0,67908.0,11735.0
34,10141.0,191774.0,13491.0,40768.0,59875.0
35,19139.0,244891.0,8932.0,47869.0,9187.0
36,19477.0,241724.0,19544.0,32948.0,5417.0
37,8766.0,229767.0,40011.0,17872.0,1115.0
38,3824.0,161623.0,21295.0,31378.0,91564.0
39,7470.0,150776.0,18284.0,47378.0,3491.0
40,6612.0,239151.0,3517.0,26031.0,1388.0
41,27273.0,130868.0,48727.0,34606.0,3232.0
42,13316.0,208615.0,7680.0,46649.0,38171.0
43,8138.0,290201.0,4553.0,19514.0,4190.0
44,6900.0,150342.0,20430.0,41364.0,3671.0
45,43461.0,151004.0,10486.0,58257.0,53775.0
46,4388.0,229822.0,3218.0,22320.0,73527.0
47,22573.0,272495.0,21074.0,21375.0,2499.0
48,6038.0,148615.0,21910.0,40810.0,2778.0
49,11255.0,154773.0,18390.0,43746.0,16204.0
50,6613.0,201400.0,12444.0,58753.0,33746.0
51,29473.0,186337.0,27029.0,88300.0,5925.0
52,8849.0,219901.0,30746.0,36530.0,7981.0
53,16765.0,280562.0,5384.0,16092.0,24681.0
54,7772.0,176700.0,11654.0,28023.0,18666.0
55,11388.0,252627.0,12396.0,31944.0,9852.0
56,6021.0,205113.0,14929.0,75868.0,13065.0
57,21626.0,177791.0,13526.0,45701.0,57944.0
58,19437.0,190140.0,28750.0,63175.0,7769.0
59,7109.0,224213.0,15553.0,31572.0,34093.0
60,34402.0,138667.0,24167.0,53720.0,18076.0
61,3726.0,316059.0,639.0,12914.0,6281.0
62,19374.0,195566.0,19002.0,52738.0,4900.0
63,7666.0,156880.0,23681.0,52452.0,34510.0
64,5469.0,206173.0,26113.0,12787.0,79583.0
65,6069.0,228610.0,18983.0,27762.0,35322.0
66,6910.0,256368.0,6742.0,13070.0,12015.0
67,22637.0,194830.0,12148.0,46922.0,51395.0
68,11239.0,225083.0,7087.0,37461.0,33364.0
69,23798.0,139435.0,13483.0,42352.0,652.0
70,24490.0,213724.0,8725.0,47547.0,6132.0
71,9539.0,217146.0,14147.0,23739.0,52958.0
72,20643.0,218001.0,16575.0,36402.0,18361.0
73,22157.0,223407.0,24782.0,47101.0,7601.0
74,17441.0,234150.0,42264.0,24775.0,3016.0
75,8235.0,255409.0,11902.0,24076.0,22670.0
76,54796.0,134383.0,9980.0,53785.0,67734.0
77,26887.0,153615.0,49711.0,63413.0,7520.0
78,26141.0,171741.0,11394.0,55840.0,69925.0
79,21176.0,282956.0,8318.0,22674.0,1762.0
80,25219.0,207323.0,17566.0,56771.0,2981.0
81,8433.0,242985.0,6263.0,22903.0,946.0
82,9408.0,199569.0,10973.0,27183.0,55817.0
83,8070.0,182991.0,12496.0,42011.0,86731.0
84,14607.0,165968.0,15522.0,48639.0,43381.0
85,13462.0,204106.0,4775.0,28408.0,1384.0
86,9193.0,183113.0,5932.0,35171.0,66901.0
87,26744.0,150568.0,12089.0,59445.0,10170.0
88,6974.0,279590.0,1225.0,17907.0,18597.0
89,28627.0,199538.0,10649.0,46035.0,24797.0
90,11949.0,203325.0,12527.0,54813.0,46344.0
91,26357.0,200414.0,5910.0,33004.0,3940.0
92,40456.0,197412.0,16487.0,30790.0,48482.0
93,9226.0,257037.0,21093.0,21067.0,6410.0
94,15694.0,200149.0,10595.0,28705.0,69143.0
95,15660.0,212696.0,11300.0,49348.0,3532.0
96,13402.0,187713.0,7296.0,26557.0,98018.0
97,17794.0,222962.0,13251.0,51087.0,12197.0
98,5687.0,256042.0,1466.0,14316.0,5076.0
99,19158.0,252073.0,15889.0,37445.0,13062.0
100,18557.0,175163.0,4729.0,61467.0,67255.0
101,17688.0,237452.0,22762.0,37506.0,13390.0
102,9943.0,124694.0,22467.0,40764.0,5167.0
103,13985.0,266219.0,9238.0,24758.0,8417.0
104,12767.0,170005.0,19328.0,35179.0,69907.0
105,4202.0,242676.0,31613.0,28220.0,5567.0
106,51066.0,164517.0,39449.0,40432.0,3076.0
107,19850.0,193715.0,18330.0,39949.0,7611.0
108,18568.0,129904.0,11493.0,50168.0,1407.0
109,38396.0,125414.0,16589.0,59650.0,2689.0
110,11477.0,245221.0,15353.0,41548.0,14747.0
111,17705.0,270681.0,16130.0,22972.0,3870.0
112,6810.0,211678.0,31253.0,13216.0,16829.0
113,20378.0,251195.0,16966.0,31436.0,1975.0
114,16506.0,241692.0,4987.0,17462.0,32197.0
115,15352.0,197433.0,4350.0,22906.0,80713.0
116,23496.0,169683.0,31311.0,22232.0,21334.0
117,8352.0,223195.0,27843.0,13230.0,13059.0
118,13252.0,224604.0,34619.0,14672.0,3503.0
119,35449.0,161890.0,4694.0,39121.0,1461.0
120,3556.0,151690.0,14025.0,7150.0,20155.0
121,7341.0,268986.0,12652.0,17875.0,9066.0
122,14489.0,162129.0,39358.0,14816.0,6265.0
123,8958.0,214766.0,7305.0,31818.0,58429.0
124,13249.0,199891.0,38547.0,18435.0,9758.0
125,13824.0,180736.0,5914.0,41830.0,85117.0
126,12046.0,218646.0,14113.0,15641.0,68617.0
127,9833.0,246326.0,9798.0,10177.0,15832.0
128,19696.0,158366.0,45388.0,38203.0,1758.0
129,8779.0,97536.0,15998.0,68982.0,29452.0
130,15397.0,196390.0,14348.0,32642.0,59060.0
131,38942.0,177022.0,10224.0,19039.0,65581.0
132,14524.0,207372.0,16088.0,23762.0,56538.0
133,8495.0,176891.0,20098.0,42417.0,52359.0
134,22830.0,233115.0,25372.0,39239.0,4701.0
135,37819.0,159974.0,18573.0,39911.0,48084.0
136,12190.0,217736.0,1682.0,11094.0,1451.0
137,5160.0,247116.0,17461.0,12328.0,33252.0
138,4334.0,231260.0,23362.0,15476.0,40447.0
139,22647.0,226446.0,26585.0,29123.0,12123.0
140,9133.0,168083.0,12307.0,24038.0,1354.0
141,7079.0,244565.0,13457.0,9592.0,39765.0
142,13752.0,257457.0,5251.0,29298.0,27040.0
143,9655.0,205466.0,14589.0,34015.0,71607.0
144,7207.0,186265.0,82882.0,10798.0,1663.0
145,14442.0,238030.0,9660.0,41495.0,22229.0
146,38911.0,189754.0,33462.0,49806.0,6352.0
147,8744.0,230731.0,3404.0,14822.0,27265.0
148,59630.0,183587.0,30505.0,46992.0,9454.0
149,13158.0,163763.0,2533.0,23223.0,1177.0
150,18216.0,216733.0,4981.0,41073.0,38164.0
151,23075.0,244933.0,16906.0,27633.0,4184.0
152,21094.0,218857.0,8434.0,29567.0,24855.0
153,16103.0,273626.0,10094.0,16776.0,19088.0
154,9816.0,168632.0,32165.0,35384.0,10198.0
155,43517.0,144989.0,31629.0,56436.0,53418.0
156,19908.0,188219.0,23523.0,57572.0,6290.0
157,9241.0,240931.0,22216.0,31002.0,2204.0
158,14312.0,244062.0,6353.0,27954.0,3458.0
159,30726.0,201606.0,4937.0,46926.0,3978.0
160,15353.0,217032.0,13879.0,43326.0,38944.0
161,50135.0,197881.0,9262.0,64069.0,3306.0
162,11278.0,205640.0,6190.0,27086.0,1326.0
163,21469.0,213014.0,17034.0,26868.0,13857.0
164,15217.0,233547.0,30706.0,34557.0,3612.0
165,71186.0,186490.0,19962.0,41185.0,4152.0
