Image number,Brightness,Red,Green,Blue,Object,Reliability,Size of box
0,116.72260277777778,112.31397777777778,117.59514444444444,116.66243055555556,car,73.27351570129395,56.0
0,116.72260277777778,112.31397777777778,117.59514444444444,116.66243055555556,car,93.46657395362854,100.0
1,127.2044138888889,124.30285,127.31091666666669,128.08159166666667,car,98.77007603645325,5252.0
1,127.2044138888889,124.30285,127.31091666666669,128.08159166666667,car,89.29515480995178,208.0
1,127.2044138888889,124.30285,127.31091666666669,128.08159166666667,car,73.25828671455383,49.0
1,127.2044138888889,124.30285,127.31091666666669,128.08159166666667,car,62.81216740608215,110.0
1,127.2044138888889,124.30285,127.31091666666669,128.08159166666667,car,98.67909550666808,1944.0
2,116.11096944444444,110.93876944444445,116.71758055555556,116.87860555555557,car,94.51714158058168,29808.0
2,116.11096944444444,110.93876944444445,116.71758055555556,116.87860555555557,car,96.4029312133789,5394.0
2,116.11096944444444,110.93876944444445,116.71758055555556,116.87860555555557,car,61.26773357391357,70.0
2,116.11096944444444,110.93876944444445,116.71758055555556,116.87860555555557,car,74.45775270462036,132.0
3,115.41791666666668,111.44255555555556,115.58934166666668,116.57437222222222,car,97.25680947303772,3312.0
3,115.41791666666668,111.44255555555556,115.58934166666668,116.57437222222222,car,94.30546760559082,90.0
3,115.41791666666668,111.44255555555556,115.58934166666668,116.57437222222222,car,83.44306945800781,49.0
3,115.41791666666668,111.44255555555556,115.58934166666668,116.57437222222222,car,82.25861191749573,42.0
3,115.41791666666668,111.44255555555556,115.58934166666668,116.57437222222222,person,76.66392922401428,209.0
3,115.41791666666668,111.44255555555556,115.58934166666668,116.57437222222222,car,97.27030992507936,560.0
4,122.58507777777778,119.16411111111113,122.97933055555556,123.08141111111112,car,85.90001463890076,3675.0
4,122.58507777777778,119.16411111111113,122.97933055555556,123.08141111111112,car,93.68900656700134,132.0
4,122.58507777777778,119.16411111111113,122.97933055555556,123.08141111111112,car,91.72596335411072,90.0
5,124.7843,116.0327,126.78645,124.13488055555555,,,
6,138.2268861111111,135.7998472222222,138.3031638888889,138.99587777777776,truck,91.92770719528198,2800.0
6,138.2268861111111,135.7998472222222,138.3031638888889,138.99587777777776,car,72.88103103637695,99.0
6,138.2268861111111,135.7998472222222,138.3031638888889,138.99587777777776,car,78.01395654678345,270.0
6,138.2268861111111,135.7998472222222,138.3031638888889,138.99587777777776,car,76.42915844917297,182.0
6,138.2268861111111,135.7998472222222,138.3031638888889,138.99587777777776,car,88.73433470726013,221.0
6,138.2268861111111,135.7998472222222,138.3031638888889,138.99587777777776,car,98.06941747665404,952.0
7,105.90689166666668,103.15138888888887,108.15703333333332,102.51864444444443,car,77.79297232627869,13158.0
7,105.90689166666668,103.15138888888887,108.15703333333332,102.51864444444443,car,66.18118286132812,33532.0
7,105.90689166666668,103.15138888888887,108.15703333333332,102.51864444444443,car,87.27295994758606,2736.0
7,105.90689166666668,103.15138888888887,108.15703333333332,102.51864444444443,car,91.2008821964264,306.0
7,105.90689166666668,103.15138888888887,108.15703333333332,102.51864444444443,car,71.83761596679688,252.0
7,105.90689166666668,103.15138888888887,108.15703333333332,102.51864444444443,car,95.8122730255127,1120.0
7,105.90689166666668,103.15138888888887,108.15703333333332,102.51864444444443,car,69.64287757873535,2040.0
8,143.98747777777777,140.196125,146.18287222222222,141.13171666666668,car,98.78260493278503,4386.0
8,143.98747777777777,140.196125,146.18287222222222,141.13171666666668,car,98.18726181983948,270.0
