,Horodateur,Age,Gender,Origin,Residence,Percentage of lifetime in a city,Image1 ID,Image2 ID,Winner,Person ID
65,21/11/2021 11:35:07,21,Female,NE,Lausanne,0.865894,132,272,132,2131299.0
66,21/11/2021 11:35:10,21,Female,NE,Lausanne,0.865894,45,303,45,2131299.0
67,21/11/2021 11:35:13,22,Male,Europe,Lausanne,0.9072848,293,129,129,22139116.0
68,21/11/2021 11:35:18,21,Female,NE,Lausanne,0.865894,317,401,401,2131299.0
69,21/11/2021 11:35:19,22,Male,Europe,Lausanne,0.9072848,291,405,291,22139116.0
70,21/11/2021 11:35:20,22,Male,Europe,Lausanne,0.9072848,401,174,174,22139116.0
71,21/11/2021 11:35:22,21,Female,NE,Lausanne,0.865894,406,442,442,2131299.0
72,21/11/2021 11:35:24,22,Male,Europe,Lausanne,0.9072848,59,145,59,22139116.0
73,21/11/2021 11:35:25,21,Female,NE,Lausanne,0.865894,193,202,193,2131299.0
74,21/11/2021 11:35:27,22,Male,Europe,Lausanne,0.9072848,243,446,243,22139116.0
75,21/11/2021 11:35:28,21,Female,NE,Lausanne,0.865894,323,198,323,2131299.0
76,21/11/2021 11:35:31,21,Female,NE,Lausanne,0.865894,314,195,195,2131299.0
77,21/11/2021 11:35:34,22,Male,Europe,Lausanne,0.9072848,208,159,159,22139116.0
78,21/11/2021 11:35:34,21,Female,NE,Lausanne,0.865894,424,100,100,2131299.0
79,21/11/2021 11:35:37,21,Female,NE,Lausanne,0.865894,182,78,78,2131299.0
80,21/11/2021 11:35:39,22,Male,Europe,Lausanne,0.9072848,454,170,454,22139116.0
81,21/11/2021 11:35:42,21,Female,NE,Lausanne,0.865894,399,119,399,2131299.0
82,21/11/2021 11:35:42,22,Male,Europe,Lausanne,0.9072848,113,363,113,22139116.0
83,21/11/2021 11:35:44,21,Female,NE,Lausanne,0.865894,123,437,123,2131299.0
84,21/11/2021 11:35:47,21,Female,NE,Lausanne,0.865894,23,200,200,2131299.0
85,21/11/2021 11:35:50,21,Female,NE,Lausanne,0.865894,316,136,316,2131299.0
86,21/11/2021 11:35:52,22,Male,Europe,Lausanne,0.9072848,339,177,339,22139116.0
87,21/11/2021 11:35:55,22,Male,Europe,Lausanne,0.9072848,415,313,313,22139116.0
88,21/11/2021 11:35:58,22,Male,Europe,Lausanne,0.9072848,287,344,287,22139116.0
89,21/11/2021 11:35:58,21,Female,NE,Lausanne,0.865894,228,281,281,2131299.0
90,21/11/2021 11:36:00,21,Female,NE,Lausanne,0.865894,176,277,277,2131299.0
91,21/11/2021 11:36:02,22,Male,Europe,Lausanne,0.9072848,263,13,263,22139116.0
92,21/11/2021 11:36:05,22,Male,Europe,Lausanne,0.9072848,260,56,260,22139116.0
93,21/11/2021 11:36:08,21,Female,NE,Lausanne,0.865894,415,134,415,2131299.0
94,21/11/2021 11:36:10,22,Male,Europe,Lausanne,0.9072848,277,355,277,22139116.0
95,21/11/2021 11:36:14,22,Male,Europe,Lausanne,0.9072848,229,90,90,22139116.0
96,21/11/2021 11:36:16,21,Female,NE,Lausanne,0.865894,28,338,28,2131299.0
97,21/11/2021 11:36:20,21,Female,NE,Lausanne,0.865894,36,227,227,2131299.0
98,21/11/2021 11:36:21,22,Male,Europe,Lausanne,0.9072848,345,264,345,22139116.0
99,21/11/2021 11:36:23,21,Female,NE,Lausanne,0.865894,269,314,314,2131299.0
100,21/11/2021 11:36:26,21,Female,NE,Lausanne,0.865894,11,339,11,2131299.0
101,21/11/2021 11:36:27,22,Male,Europe,Lausanne,0.9072848,30,45,30,22139116.0
102,21/11/2021 11:36:30,21,Female,NE,Lausanne,0.865894,362,182,182,2131299.0
103,21/11/2021 11:36:30,22,Male,Europe,Lausanne,0.9072848,78,128,78,22139116.0
104,21/11/2021 11:36:33,21,Female,NE,Lausanne,0.865894,402,453,453,2131299.0
105,21/11/2021 11:36:34,22,Male,Europe,Lausanne,0.9072848,40,88,40,22139116.0
106,21/11/2021 11:36:37,21,Female,NE,Lausanne,0.865894,70,167,70,2131299.0
107,21/11/2021 11:36:37,22,Male,Europe,Lausanne,0.9072848,86,341,86,22139116.0
108,21/11/2021 11:36:39,21,Female,NE,Lausanne,0.865894,97,130,97,2131299.0
109,21/11/2021 11:36:40,22,Male,Europe,Lausanne,0.9072848,317,402,402,22139116.0
110,21/11/2021 11:36:42,21,Female,NE,Lausanne,0.865894,221,267,267,2131299.0
111,21/11/2021 11:36:46,21,Female,NE,Lausanne,0.865894,183,303,303,2131299.0
112,21/11/2021 11:36:54,21,Female,NE,Lausanne,0.865894,112,195,195,2131299.0
113,21/11/2021 11:37:01,21,Female,NE,Lausanne,0.865894,9,8,8,2131299.0
114,21/11/2021 11:37:05,21,Female,NE,Lausanne,0.865894,309,395,309,2131299.0
115,21/11/2021 11:37:18,21,Female,NE,Lausanne,0.865894,217,361,217,2131299.0
116,21/11/2021 11:37:29,21,Female,NE,Lausanne,0.865894,336,400,336,2131299.0
117,21/11/2021 11:37:32,21,Female,NE,Lausanne,0.865894,156,66,156,2131299.0
118,21/11/2021 11:37:38,21,Female,NE,Lausanne,0.865894,388,43,388,2131299.0
119,21/11/2021 11:37:43,21,Female,NE,Lausanne,0.865894,73,370,73,2131299.0
120,21/11/2021 11:37:49,21,Female,NE,Lausanne,0.865894,274,246,246,2131299.0
121,21/11/2021 11:37:52,21,Female,NE,Lausanne,0.865894,110,292,292,2131299.0
122,21/11/2021 11:37:56,21,Female,NE,Lausanne,0.865894,186,89,89,2131299.0
123,21/11/2021 11:38:02,21,Female,NE,Lausanne,0.865894,378,178,378,2131299.0
124,21/11/2021 11:38:09,21,Female,NE,Lausanne,0.865894,136,443,443,2131299.0
125,21/11/2021 11:38:13,21,Female,NE,Lausanne,0.865894,123,244,123,2131299.0
126,21/11/2021 11:38:18,21,Female,NE,Lausanne,0.865894,145,114,145,2131299.0
127,21/11/2021 11:38:20,21,Female,NE,Lausanne,0.865894,312,274,274,2131299.0
128,21/11/2021 11:38:23,21,Female,NE,Lausanne,0.865894,125,253,125,2131299.0
129,21/11/2021 11:38:25,21,Female,NE,Lausanne,0.865894,171,218,218,2131299.0
130,21/11/2021 11:38:28,21,Female,NE,Lausanne,0.865894,129,273,273,2131299.0
131,21/11/2021 11:38:31,21,Female,NE,Lausanne,0.865894,258,187,187,2131299.0
132,21/11/2021 11:38:34,21,Female,NE,Lausanne,0.865894,110,420,420,2131299.0
133,21/11/2021 11:38:38,21,Female,NE,Lausanne,0.865894,152,382,152,2131299.0
134,21/11/2021 11:38:43,21,Female,NE,Lausanne,0.865894,423,381,423,2131299.0
135,21/11/2021 11:38:51,21,Female,NE,Lausanne,0.865894,434,372,434,2131299.0
136,21/11/2021 11:38:57,21,Female,NE,Lausanne,0.865894,333,451,451,2131299.0
137,21/11/2021 11:39:01,21,Female,NE,Lausanne,0.865894,224,325,325,2131299.0
138,21/11/2021 11:39:04,21,Female,NE,Lausanne,0.865894,112,286,286,2131299.0
139,21/11/2021 11:39:10,21,Female,NE,Lausanne,0.865894,389,19,19,2131299.0
140,21/11/2021 11:39:13,21,Female,NE,Lausanne,0.865894,101,298,298,2131299.0
141,21/11/2021 11:39:23,21,Female,NE,Lausanne,0.865894,100,92,100,2131299.0
142,21/11/2021 11:39:28,21,Female,NE,Lausanne,0.865894,195,30,30,2131299.0
143,21/11/2021 11:39:31,21,Female,NE,Lausanne,0.865894,151,296,151,2131299.0
144,21/11/2021 11:39:33,21,Female,NE,Lausanne,0.865894,15,396,15,2131299.0
145,21/11/2021 11:39:38,21,Female,NE,Lausanne,0.865894,309,425,425,2131299.0
146,21/11/2021 11:39:46,21,Female,NE,Lausanne,0.865894,170,21,170,2131299.0
147,21/11/2021 11:39:51,21,Female,NE,Lausanne,0.865894,237,310,237,2131299.0
148,21/11/2021 11:39:55,21,Female,NE,Lausanne,0.865894,81,161,161,2131299.0
149,21/11/2021 11:40:24,21,Female,NE,Lausanne,0.865894,113,103,113,2131299.0
150,21/11/2021 11:40:26,21,Female,NE,Lausanne,0.865894,269,59,269,2131299.0
151,21/11/2021 11:40:29,21,Female,NE,Lausanne,0.865894,184,348,348,2131299.0
152,21/11/2021 11:40:30,21,Female,NE,Lausanne,0.865894,178,399,399,2131299.0
153,21/11/2021 11:40:33,21,Female,NE,Lausanne,0.865894,299,389,299,2131299.0
