,Black,Grey,White,Green,Blue
0,26023.0,263089.0,3767.0,16826.0,32815.0
1,6093.0,275555.0,4987.0,21687.0,26746.0
2,5955.0,280972.0,3608.0,24278.0,30614.0
3,13103.0,283987.0,4422.0,34887.0,7960.0
4,8615.0,179481.0,14497.0,26632.0,10022.0
5,12951.0,164069.0,11334.0,31875.0,5217.0
6,6977.0,150805.0,29357.0,20910.0,3836.0
7,6181.0,178899.0,4346.0,12311.0,12172.0
8,14744.0,248980.0,42183.0,20248.0,4108.0
9,14017.0,270995.0,12935.0,37731.0,1173.0
10,7757.0,186262.0,25697.0,46661.0,9387.0
11,14390.0,222589.0,17481.0,54917.0,7411.0
12,9694.0,205127.0,24420.0,41619.0,2243.0
13,14888.0,160615.0,22557.0,33337.0,2231.0
14,11004.0,227614.0,19669.0,40387.0,11812.0
15,17751.0,251770.0,17987.0,26685.0,3370.0
16,10028.0,224035.0,40670.0,31073.0,4786.0
17,7804.0,153110.0,24027.0,14420.0,38781.0
18,6572.0,236448.0,9497.0,14229.0,22852.0
19,22511.0,263043.0,6397.0,12477.0,11513.0
20,3346.0,209282.0,4477.0,3909.0,27499.0
21,10237.0,189244.0,22934.0,9538.0,10760.0
22,11089.0,194347.0,26239.0,10130.0,9651.0
23,3016.0,178854.0,1471.0,8704.0,22944.0
24,11743.0,216082.0,3574.0,44436.0,15253.0
25,4756.0,225279.0,7880.0,40370.0,6579.0
26,12262.0,246715.0,6275.0,49376.0,2557.0
27,9526.0,210007.0,17614.0,39508.0,14368.0
28,14481.0,208265.0,25237.0,66725.0,3340.0
29,37645.0,191181.0,39966.0,52248.0,4180.0
30,10703.0,158417.0,30021.0,20581.0,3834.0
31,8168.0,138974.0,38737.0,19311.0,2359.0
32,2642.0,204318.0,4018.0,8788.0,6760.0
33,4723.0,267322.0,2957.0,16356.0,27177.0
34,7787.0,205216.0,1411.0,21624.0,26871.0
35,4742.0,292418.0,1892.0,4297.0,22192.0
36,2314.0,253887.0,2753.0,4348.0,20892.0
37,707.0,199209.0,1957.0,2508.0,18954.0
38,3423.0,224205.0,2669.0,4847.0,19712.0
39,856.0,145922.0,10113.0,7102.0,15089.0
40,6429.0,218409.0,3490.0,7715.0,4030.0
41,8012.0,200447.0,4519.0,8312.0,4470.0
42,21451.0,176351.0,13455.0,21580.0,3691.0
43,15432.0,270651.0,4171.0,27039.0,16876.0
44,1888.0,159914.0,5483.0,4818.0,4678.0
45,3316.0,202497.0,16424.0,25413.0,15892.0
46,12505.0,140605.0,42038.0,18392.0,872.0
47,16585.0,139275.0,20104.0,24005.0,5413.0
48,8846.0,153800.0,5506.0,16230.0,34853.0
49,6187.0,191635.0,2144.0,20573.0,12146.0
50,2734.0,190974.0,2562.0,13574.0,10706.0
51,1451.0,194567.0,1932.0,9686.0,10373.0
