Image number,Object,Reliability,Size of box
173,car,97.4245011806488,1104
174,car,98.76092076301576,26331
174,car,96.90052270889282,1938
175,car,98.84088039398192,62565
175,car,98.32723140716551,5168
175,car,99.44798946380617,8858
175,car,82.71169066429138,180
175,car,96.733558177948,200
175,car,68.52856278419495,323
175,car,89.57054615020752,324
175,car,98.8535463809967,1092
175,person,70.86714506149292,702
177,car,99.78368282318117,38092
177,car,96.93041443824768,4161
177,car,99.49401021003725,2640
178,car,70.70280313491821,2295
178,car,83.8732361793518,897
178,car,99.15407299995422,2128
178,car,99.65286254882812,2052
179,car,90.6283974647522,425
179,car,81.56784176826477,195
179,car,80.48536777496338,943
179,car,86.28259897232056,1988
180,bus,98.140949010849,6844
180,car,73.18587303161621,3654
180,car,99.86072778701782,8540
180,car,94.65485215187071,306
180,car,76.34270191192627,120
180,car,66.79221391677856,210
180,car,87.58875131607056,960
180,car,94.0900206565857,2904
180,car,94.83551383018494,690
180,car,94.59347724914552,990
181,car,86.4953875541687,180
181,person,83.57733488082886,200
181,person,71.9376266002655,814
181,motorbike,79.45573925971985,1260
182,car,89.82833623886108,1045
184,car,99.92152452468872,8568
185,car,99.75635409355164,17760
185,car,91.59407019615172,3735
185,car,99.44302439689636,11375
185,car,65.91154932975769,5724
185,car,82.27757215499878,221
185,car,92.79845952987672,323
185,car,97.6292848587036,1029
185,car,96.19585275650024,980
186,car,81.0646116733551,180
187,car,99.82149600982666,17982
187,car,99.50494766235352,5808
187,car,84.87904667854309,1704
187,car,80.96081614494324,216
187,car,99.22896027565002,2296
188,car,89.07672166824341,25500
188,car,95.71014642715454,224
188,car,95.39816975593568,483
188,car,99.45935010910034,2322
188,car,95.32630443572998,2397
189,car,93.6802327632904,27789
189,car,60.36934852600098,154
189,car,94.16807889938354,156
189,car,77.11045742034912,210
189,car,71.22946977615356,720
189,car,88.62812519073486,280
189,car,98.90586733818054,2091
189,car,99.39801692962646,2378
190,truck,94.9343204498291,26650
190,car,96.55190706253052,667
190,car,95.66764831542967,3000
191,car,91.42199158668518,108
191,car,98.62699508666992,930
191,motorbike,74.086993932724,1786
192,car,99.58157539367676,7150
192,car,93.04111003875732,340
192,car,99.3422269821167,1764
193,car,94.19220089912416,1440
193,car,91.54532551765442,1566
193,car,73.85187149047852,1200
193,car,79.88794445991516,448
193,car,98.5983908176422,2562
194,car,99.23745393753052,15622
194,car,91.5145993232727,609
194,car,98.88201355934144,1394
195,car,97.66346216201782,20600
195,car,96.90906405448914,396
196,car,96.8544065952301,32800
196,car,87.74647116661072,72
196,car,91.27260446548462,80
196,car,64.03594017028809,80
196,car,98.29151034355164,1440
197,car,99.59049820899963,7918
197,car,64.1187310218811,180
197,car,90.8128023147583,224
197,car,98.47612380981444,1596
198,car,98.40714931488036,4640
198,car,99.17787909507751,414
199,car,97.62072563171388,35530
199,car,81.30478262901306,117
199,car,80.52451610565186,200
199,car,77.59682536125183,162
200,car,90.84135293960573,64701
200,car,98.05318117141724,51917
200,car,99.54305291175842,8160
200,car,97.76820540428162,357
200,car,98.78690838813782,400
200,car,97.10491299629211,864
200,car,98.91490936279295,1518
200,car,99.18447732925416,1886
201,car,95.4850733280182,5621
201,car,77.99850702285767,4590
201,car,92.67751574516296,22375
201,car,62.44170069694519,160
201,car,60.37805080413818,108
201,person,70.94595432281494,208
201,person,67.03057885169983,189
202,car,99.00519847869872,18190
202,car,99.01499152183531,3528
202,car,71.97232246398926,4830
202,car,71.80847525596619,144
202,car,87.97297477722168,210
203,car,99.47724342346191,18720
203,car,90.01628756523132,4455
203,car,97.18216061592102,5589
203,car,70.2182412147522,1050
203,car,68.06864738464355,748
204,car,82.17349648475647,70
204,car,88.53280544281006,1704
205,bus,97.4618136882782,42355
205,car,92.74858236312866,255
205,car,93.63403916358948,255
205,car,97.58703708648682,986
205,person,99.1257905960083,1512
206,bus,98.89922142028809,10508
207,truck,77.51336097717285,36600
207,car,99.77942109107973,7276
207,car,89.78511691093445,110
207,car,88.11798095703125,81
207,car,94.06881928443909,1739
208,car,98.58619570732117,29256
208,car,99.19759035110474,3591
208,car,93.2356059551239,560
209,truck,84.26694869995117,18321
209,car,82.8753411769867,300
210,car,98.76105785369872,4500
210,car,93.63701939582825,345
210,car,97.9554831981659,840
211,car,80.45870661735535,6976
211,car,93.50433945655824,684
212,car,91.3381814956665,225
212,person,69.35202479362488,198
213,car,71.49286270141602,121
213,car,98.83913397789,2079
214,car,92.5110161304474,99
214,car,88.47542405128479,1159
214,person,72.50792384147644,585
215,car,94.93181109428406,483
217,car,85.8257532119751,132
217,person,64.74626660346985,280
217,person,81.76339864730835,330
219,truck,70.59733867645264,68688
220,car,76.91940665245056,81
220,car,71.43920660018921,80
220,car,72.85125255584717,156
220,car,91.10592603683472,352
221,car,91.8217957019806,168
222,car,99.79742169380188,15834
222,car,92.37759113311768,33108
222,car,94.90575194358826,3572
222,car,62.97057271003723,2480
222,car,64.03425335884094,4505
222,motorbike,68.26890707015991,357
222,car,74.76075887680054,1900
223,car,78.83361577987671,18480
223,person,99.51271414756776,4488
223,person,87.14170455932617,5217
223,car,69.78170871734619,117
223,car,83.38393568992615,572
223,car,95.43017745018004,294
223,car,99.56061244010924,2332
224,traffic light,86.36171817779541,1180
224,traffic light,72.2400963306427,1344
224,traffic light,73.3760118484497,1426
225,car,67.53911972045898,897
225,traffic light,75.54712295532227,253
225,traffic light,65.8278226852417,276
225,traffic light,78.71845364570618,510
225,car,91.10140800476074,120
225,car,82.81945586204529,100
225,car,76.67642831802368,110
225,car,93.07110905647278,600
226,traffic light,69.86930966377258,1392
226,traffic light,80.45246005058289,1240
227,car,99.75799918174744,27324
227,car,98.64867329597472,3416
227,car,77.80694365501404,338
227,car,66.52759313583374,110
